Cement,Coarse Aggregate,Fine Aggregate,Age,Concrete compressive strength
540,1040,676,28,79.99
540,1055,676,28,61.89
332.5,932,594,270,40.27
332.5,932,594,365,41.05
198.6,978.4,825.5,360,44.3
266,932,670,90,47.03
380,932,594,365,43.7
380,932,594,28,36.45
266,932,670,28,45.85
475,932,594,28,39.29
198.6,978.4,825.5,90,38.07
198.6,978.4,825.5,28,28.02
427.5,932,594,270,43.01
190,932,670,90,42.33
304,932,670,28,47.81
380,932,670,90,52.91
139.6,1047,806.9,90,39.36
342,932,670,365,56.14
380,932,594,90,40.56
475,932,594,180,42.62
427.5,932,594,180,41.84
139.6,1047,806.9,28,28.24
139.6,1047,806.9,3,8.06
139.6,1047,806.9,180,44.21
380,932,670,365,52.52
380,932,670,270,53.3
380,932,594,270,41.15
342,932,670,180,52.12
427.5,932,594,28,37.43
475,932,594,7,38.6
304,932,670,365,55.26
266,932,670,365,52.91
198.6,978.4,825.5,180,41.72
475,932,594,270,42.13
190,932,670,365,53.69
237.5,932,594,270,38.41
237.5,932,594,28,30.08
332.5,932,594,90,37.72
475,932,594,90,42.23
237.5,932,594,180,36.25
342,932,670,90,50.46
427.5,932,594,365,43.7
237.5,932,594,365,39
380,932,670,180,53.1
427.5,932,594,90,41.54
427.5,932,594,7,35.08
349,1047,806.9,3,15.05
380,932,594,180,40.76
237.5,932,594,7,26.26
380,932,594,7,32.82
332.5,932,594,180,39.78
190,932,670,180,46.93
237.5,932,594,90,33.12
304,932,670,90,49.19
139.6,1047,806.9,7,14.59
198.6,978.4,825.5,7,14.64
475,932,594,365,41.93
198.6,978.4,825.5,3,9.13
304,932,670,180,50.95
332.5,932,594,28,33.02
304,932,670,270,54.38
266,932,670,270,51.73
310,971,850.6,3,9.87
190,932,670,270,50.66
266,932,670,180,48.7
342,932,670,270,55.06
139.6,1047,806.9,360,44.7
332.5,932,594,7,30.28
190,932,670,28,40.86
485,1120,800,28,71.99
374,926.1,756.7,3,34.4
313.3,1046.9,611.8,3,28.8
425,852.1,887.1,3,33.4
425,936,803.7,3,36.3
375,852.1,992.6,3,29
475,852.1,781.5,3,37.8
469,852.1,840.5,3,40.2
425,852.1,887.1,3,33.4
388.6,852.1,925.7,3,28.1
531.3,852.1,893.7,3,41.3
425,852.1,887.1,3,33.4
318.8,852.1,880.4,3,25.2
401.8,946.8,852.1,3,41.1
362.6,944.7,755.8,3,35.3
323.7,942.7,659.9,3,28.3
379.5,1134.3,605,3,28.6
362.6,944.7,755.8,3,35.3
286.3,1004.6,803.7,3,24.4
