Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Concrete compressive strength
540,0,0,162,2.5,1055,676,28,61.88736576
332.5,142.5,0,228,0,932,594,270,40.26953526
332.5,142.5,0,228,0,932,594,365,41.05277999
380,95,0,228,0,932,594,365,43.6982994
266,114,0,228,0,932,670,28,45.85429086
475,0,0,228,0,932,594,28,39.28978986
190,190,0,228,0,932,670,90,42.32693164
342,38,0,228,0,932,670,365,56.14196225
380,95,0,228,0,932,594,90,40.56325203
475,0,0,228,0,932,594,180,42.62064842
139.6,209.4,0,192,0,1047,806.9,28,28.23748958
139.6,209.4,0,192,0,1047,806.9,180,44.20782217
380,0,0,228,0,932,670,365,52.51669744
380,0,0,228,0,932,670,270,53.30063166
380,95,0,228,0,932,594,270,41.15137506
342,38,0,228,0,932,670,180,52.1243856
304,76,0,228,0,932,670,365,55.26012245
266,114,0,228,0,932,670,365,52.90831981
475,0,0,228,0,932,594,270,42.13112046
237.5,237.5,0,228,0,932,594,28,30.07976945
342,38,0,228,0,932,670,90,50.45930106
380,0,0,228,0,932,670,180,53.104131
427.5,47.5,0,228,0,932,594,7,35.07640202
332.5,142.5,0,228,0,932,594,180,39.77931782
190,190,0,228,0,932,670,180,46.93194184
304,76,0,228,0,932,670,90,49.18514941
332.5,142.5,0,228,0,932,594,28,33.01900564
304,76,0,228,0,932,670,270,54.37828264
266,114,0,228,0,932,670,270,51.73276323
342,38,0,228,0,932,670,270,55.06431126
139.6,209.4,0,192,0,1047,806.9,360,44.6980396
190,190,0,228,0,932,670,28,40.85696881
374,189.2,0,170.1,10.1,926.1,756.7,3,34.39795764
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
375,93.8,0,126.6,23.4,852.1,992.6,3,28.99936056
475,118.8,0,181.1,8.9,852.1,781.5,3,37.79707432
469,117.2,0,137.8,32.2,852.1,840.5,3,40.1964508
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.29609504
439,177,0,186,11.1,884.9,707.9,3,39.300132
389.9,189,0,145.9,22,944.7,755.8,3,40.59634688
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
337.9,189,0,174.9,9.5,944.7,755.8,3,24.0971862
374,189.2,0,170.1,10.1,926.1,756.7,7,46.20178676
425,106.3,0,151.4,18.6,936,803.7,7,46.80163088
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.80085148
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.09810556
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,37.99702236
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09446836
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.79825348
375,93.8,0,126.6,23.4,852.1,992.6,28,56.69561148
425,106.3,0,153.5,16.5,852.1,887.1,28,60.2946762
